Liatháin,sciatháin
Carey,Casey
gné,gé
earcaithe,eagraithe
thuilleann,thuilleamh
Brú,Br
dhéanta,dhéantaí
Beirneach,toirneach
Will,will
phríosún,príosún
leanann,leanúna
chliste,phaiste
taibhse,saibhre
bhreithe,breithe
at,lt
Dún,Dan
breacadh,dreapadh
Foras,Fhoras
Man,Mad
bhriseann,bheireann
príobháideacha,phríobháideach
gutha,guth
gnó,ngnó
báis,fáis
bhotúin,bhotún
m,ó
ghluais,luais
éireoidh,éireodh
Forbairt,forbairt
mise,ise
Gara,dara
las,la
chraicinn,craicinn
UK,Ui
cathair,gcathaoir
Uachtair,uachtar
shuí,suí
Éan,ban
vs,us
uí,í
Donoghue,Donohoe
fhórsa,fórsa
Cong,Conn
pour,poor
Cuirigí,Cuirim
arbhair,hábhair
Muid,cuid
failte,fáilte
J,á
Bealach,eallach
Tchím,chím
Choirce,Choirn
Measann,chasann
Anna,Anfa
seacht,slacht
ceathar,ceaptha
from,frog
Deá,Dee
Gníomhaíochta,gníomhaíocht
phearsa,fheara
fhilleadh,fóilleach
chaoi,caoi
bláthú,bláth
nGearmáinis,Gearmáinise
chomhdhúil,comhdhúile
bhealaigh,bhealach
Mac,Mad
seachain,anachain
Sony,Sona
Pharlaimint,pharlaimint
mhuin,mhuir
what,hat
fhormhór,bhformhór
móilíní,móilín
dhéanamh,déanamh
Draíocht,dhraíocht
ciontaithe,ionsaithe
amú,arú
mháirseáil,máirseáil
gad,gar
Thosnaigh,Tosaigh
gcinnteodh,chinnteodh
Gaelach,gaelacha
bpócaí,pócaí
sámh,lámh
chuidiú,chuid
dticéad,ticéad
Cabhair,arbhair
treoraithe,triomaithe
oll,ol
Coiste,Chiste
Ce,Cen
Chéim,Chéid
Bunscoile,Bunscoil
Maoile,Mhaoile
thairis,bhainis
Dhírigh,dhírigh
laethúil,rathúil
leagtar,leantar
furasta,feasta
tuigim,thuigim
Ceallaigh,Cheallaigh
Nil,mil
alt,lt
gruaig,ghruaig
ath,atá
gnó,gné
Foireann,Fhoireann
min,mian
gColáistí,choláistí
theagasc,dteagasc
ól,al
Ball,call
Eabhrac,fabhraí
Cat,Ca
ucht,lucht
car,gar
church,chuach
hiománaithe,iománaithe
bpointí,bpáistí
min,mine
Rás,Rá
móra,móran
dar,mar
fhuascailt,fuascailte
dúnmharuithe,dúnmharaithe
stáisiúin,seisiúin
earrach,darach
Cluiche,Chluichí
gig,lig
chugainn,thugann
Ghaeilge,iGaeilge
dhíoltar,díoltas
bheas,mheas
áiteanna,Áiseanna
Chulainn,Chuilinn
Rabhadh,rabhadh
rachadh,gabhadh
Chomhaontú,Comhaontú
shiopaí,siopaí
Dheireadh,Deineadh
Bail,Baile
bróg,bróga
colainn,álainn
_,ó
It,If
Star,tar
fíor,cíor
labhair,fabhar
Ceoltóir,díoltóir
ab,ad
dha,dh
pas,bas
crochadh,rachadh
ní,np
Polasaí,polasaí
via,bia
anoir,aoir
Mitchell,Michel
Tell,tell
mín,mí
Ba,B
uaigneas,uaigneach
cloiste,clóite
cóirithe,háirithe
hiascairí,iascaire
díol,míol
hathair,bóthair
thola,hola
ghrúpa,ghrúpaí
Ceantair,Ceannaire
tsioc,sioc
neachtc,neacht
Cille,Caille
Díreach,bíseach
íontach,ciontach
Droim,Dhroim
coisithe,coinnithe
lang,rang
easpa,heaspa
Chéasta,gléasta
Tuaithe,luaithe
Chléire,Chéile
gréasán,árasán
Shaol,Saol
Thuar,fhuar
Halla,Hall
leamh,neamh
aistritheoirí,aistritheoir
da,dá
Christina,Christie
luite,leite
ciapadh,cheapadh
mbarr,barr
Evans,Evan
bag,bas
tagann,dtagann
measadh,mheascadh
Bl,rl
Oscailte,oscailte
Fire,Fine
mi,mic
stampaí,staraí
bhfeicfeá,fheicfeá
bris,dris
saoithe,saoire
traonach,traenach
arna,darna
e,u
Cúirteanna,Ceisteanna
ae,ne
Bear,Béar
ceol,cool
le,be
t,v
éin,éan
Stailín,Spailpín
maireann,hÉireann
fhoirne,fhoirmle
ceathrú,gceathrú
chuairt,cuairte
Chéad,Céad
bí,bá
chomhartha,chomharthaí
pota,spota
thiarna,théarma
scríobh,scríofa
éad,had
lives,live
fhéadfainn,dhéanfainn
déanann,déanaí
thurais,thuras
Árann,Árainn
tiománaí,tiomána
Gar,Gay
sonraithe,sraithe
Bar,nar
árachas,praghas
Tuig,Tig
t,it
buaille,ruaille
Albam,albam
bhainim,hainm
mion,cion
Méadú,méadú
toscairí,iascairí
cainéal,phainéal
V,Á
ghéilleann,ghéilleadh
Gealach,deatach
e,h
iarainn,hÁrainn
go,gd
Caidé,Caide
v,l
morálta,molta
alltacht,mallacht
bunaitheoirí,bhunaitheoirí
tosóidh,dtosódh
fhillfidh,fhilleadh
Sat,St
ligeann,leann
bharrach,bearradh
mball,mbaol
L,j
Dath,math
Meastar,teastas
bua,nua
buartha,scartha
nuálaíocht,bulaíocht
Comhaontú,chomhaontú
conn,cinn
reachtúil,reáchtáil
príomhtheanga,phríomhtheanga
Stáitse,Stáit
oide,éide
Ho,co
sluaite,suaite
o,m
deas,deasa
Súil,súil
fillte,millte
di,mi
Ghráinne,Gráinne
gcúrsaí,cúrsaí
hionsaí,hionad
Lá,dá
nodanna,nósanna
Shleacht,theacht
seoil,seol
eo,o
póilíní,cúilíní
Crom,Chrom
CD,Ch
cuairte,buailte
Show,show
shloinne,shláinte
Roimh,Róimh
chomharsana,comharsan
NY,Na
piontaí,piollaí
Ba,na
Fís,fís
dearmad,dearmaid
phláinéad,phláinéid
mianraí,mearaí
óna,ina
mi,min
eat,eas
lia,lua
nithe,ithe
chasann,thagann
céad,céard
Carn,carn
coinníollacha,choinníollacha
U,p
s,Í
suaite,suite
amaideach,amáireach
chaithfidh,chaillfidh
per,aer
Láthair,máthair
teo,te
Dán,Dún
Hard,ard
airí,airm
ceadaithe,méadaithe
Déarfá,déarfá
Nicholas,Nicolas
éisteach,isteach
tae,tag
mBearna,ndearna
Chonnacht,Connacht
Phádraic,Padraic
Fíor,fíor
ró,Óró
Bréag,bréag
tíre,míre
míre,píre
caitheadh,cailleadh
Stores,Storey
gcraoltóir,gceoltóir
goa,goal
Solais,solais
Fuaim,uaim
aireach,biseach
ngéarchéim,ghéarchéim
Ceolchoirm,ceolchoirm
Deirtear,cuirtear
Tusa,tusa
aoir,coir
Úna,Óna
dráma,ndráma
Oireann,fireann
um,pm
dm,di
déantar,ceantar
bhun,bun
bhfeirm,bhfóire
Rinn,cinn
tir,tár
ráis,cáis
mBéarla,mBearna
chomharthaí,chomhaltaí
West,best
gcúrsa,cúrsa
taithneamh,taibhreamh
Taoisigh,thoisigh
chéad,chead
bhuachaill,mbuachaill
ndéanfadh,ndéarfaidh
Dear,Deir
go,fo
gal,al
ghearán,chearn
chúil,chúl
léannta,leanna
Bhunreacht,mbunreacht
shraith,chaith
bhuachaint,sheachaint
ein,en
scuabadh,scaradh
dathanna,cathanna
dtigh,dóigh
cnagadh,chogadh
cháil,cheil
Chuirreáin,Cuirreáin
tabhairt,thabhairt
live,give
games,names
Den,den
ám,am
béal,bhéal
báisteach,mbáisteach
Lámha,lámha
Eire,aire
bealach,ngealach
dóchais,dóthain
Nathanna,ceathanna
laige,laigí
E,Á
ciapadh,chasadh
fos,fís
nár,nor
chat,what
Póilín,Phóilín
Make,Mare
Never,never
bearna,bhearna
mhais,mhaise
dhéanach,dhéanadh
tSléibhe,sléibhe
read,red
breithe,brúite
read,réad
C,m
céimithe,réitithe
Mór,Mó
chainte,thailte
Scáil,cáil
Maura,Madra
n,nó
tintreach,baintreach
iarsma,iarsmaí
treoraí,trodaí
Gaelscéal,Gaelscoil
Hart,part
bhuaileann,mbuaileann
chaith,chath
j,h
sonas,solas
Abán,bán
Glan,Gan
coincheap,choincheap
Cultúr,Cultúir
suarach,darach
ceathair,chathair
lear,year
La,Lam
Charn,charn
Abhann,Abhainn
chéasadh,casadh
abhainn,gabhann
haistriúchán,aistriúchán
tearmann,tearma
sent,set
bhreithe,bhreithlá
Sí,lí
inmhe,nimhe
GaelLinn,Gaelainne
tSraith,Shraith
bhealach,gealach
Faic,raic
chruinn,ghrinn
alainn,asainn
Theachtaí,imeachtaí
dia,bia
bó,by
ah,sh
EU,Ed
leid,leis
mhúinteoir,mhúinteoirí
soiléire,soiléar
fheiscint,thuiscint
chráite,bháite
Lae,lae
Éad,dad
hathair,athar
dea,deá
Ceannaire,cheannaire
Mhaigh,Mhaith
braisle,briste
Downing,morning
Realt,Réalt
Thagair,eagair
fill,will
Beauty,beauty
Gaoithe,saoithe
has,bas
clos,clo
Baineann,mbaineann
iarrtha,iarrtar
Banríon,banríon
bpáipéar,páipéir
Wind,wind
Grmma,Gamma
Chatháin,Catháin
Taobh,Tarbh
cár,clár
Meon,leon
dhearna,darna
Carty,Carey
gaol,saol
red,ed
meh,meá
At,Al
Gaeloid,Gaelic
Some,home
cool,ceol
Chearta,chearta
U,j
Life,Line
Á,o
gar,war
Saoirse,saoire
gcroí,groí
Mhars,Mhara
mbeimid,mbeimis
Blag,Blog
Tirim,Titim
bharrach,bhorradh
compord,compordaí
nglacadh,ghlacadh
cathair,chathair
mbeimis,mbeidís
He,ie
phic,pic
to,tá
daoine,dhaoine
show,shot
enjoyed,enjoy
Mise,Miss
Labhairt,cabhair
tv,tí
Maireann,Muireann
dead,lead
IV,Im
do,du
gad,gaa
Tagairt,sagairt
Cheadaigh,bhealaigh
farraige,fharraige
le,leí
théim,téim
sheasamh,dheanamh
gconaí,gcónaí
Finne,Éinne
Mullach,Murach
gcead,gcéad
dhéanaí,déanaí
aoi,naoi
staid,stand
deor,dear
éad,iad
srl,súl
tUachtarán,Uachtaráin
gabh,gach
aireacht,imeacht
seanduine,seandaoine
binn,boinn
ah,ad
Máirt,páirt
leideanna,deiseanna
daoradh,caorach
cré,fré
bialainne,bialanna
el,et
achrainn,chrann
d,v
Pa,ma
Solas,solas
rachfaí,rachmas
úr,úir
cheoldráma,ceoldráma
near,lear
mBéarla,mBéal
nósanna,pasanna
mheasann,measann
chróga,cróga
Cualáin,Cuain
el,es
bhráid,bhróid
Ruadh,luadh
cór,chór
Je,Joe
ceathair,hathair
ngrianghraf,griangraf
fhoighne,foighne
bhreith,bhreátha
dheontas,dheineas
let,leá
cothú,mothú
phleanála,pleanála
saoithe,gaoithe
Thú,shú
bhainfeadh,mbainfeadh
chreideann,chreideamh
amhrais,amhain
críochnú,críoch
Duinníneach,muiníneach
buaileann,muileann
prátaí,práta
Colla,olla
Conall,Conal
sáite,site
Rian,ian
Aonair,conair
Cuirfear,Cuirtear
Bhúirne,chúinne
Athar,thar
Caisleán,caisleán
buartha,curtha
To,Tó
fheiceail,fheiceann
Mathúna,rathúla
ndéanfaidh,ndéarfadh
Fad,ad
Ól,Óg
tir,áir
we,se
comhdháil,gcomhdháil
dian,pian
comparáid,chomparáid
meastar,ceantar
shaothar,hothar
gléasta,glanta
dubhach,dubhthach
bith,bit
d,x
háite,heite
Michelle,Micheál
Ce,Ch
Í,Ó
First,first
der,deor
hathrú,athrú
siamsaíochta,siamsaíocht
fóin,féin
gComhar,Chomhar
dianghlasáil,dianghlasála
El,Eh
ós,vs
luaithe,léithe
boscaí,bosca
Chulainn,Chluain
leads,leaids
nóiméid,nóiméad
mais,mass
Páipéar,páipéar
Ceapann,seasann
Chorn,Chorr
imníoch,ciníoch
AS,A
É,Ó
dtoghfaí,dtoghfar
Roinne,coinne
D,Ó
cheartú,cheart
Brian,Brain
tSeachtain,Sheachtain
anuraidh,curaidh
lus,luí
Dear,lear
chuige,chuile
nuálach,mullach
fhaigheann,chaitheann
cáilithe,náirithe
Cabhair,Cathain
choistí,chois
dtír,tír
pacáistí,phacáiste
bís,bás
reidh,réidh
Ok,Oh
Chartlann,cartlann
sos,cos
aill,caill
Dinnéar,dinnéar
stop,top
loch,locht
aite,aice
bhféadfaimis,bhféadfaidís
boc,bog
deo,ceo
Aodha,Aodh
fhan,fhad
NS,NÁ
ta,tar
hArd,hard
fhóin,fhóid
Come,Comh
Leo,leo
Cc,Ch
Ainmním,ainmním
pháiste,choiste
Seod,seod
feamainne,fearainn
leag,lear
Ceathair,nathair
daoirse,daoine
mhíthuiscint,míthuiscint
gCiste,gCoiste
Linn,cinn
Gearradh,Gealladh
mbarúil,barrúil
aistear,ligtear
Cheannais,Cheannaire
leo,leí
iarthuaisceart,oirthuaisceart
Brádaigh,ordaigh
Táin,dáin
e,n
geallta,allta
thréithe,thuaithe
dhéanfá,déarfá
s,g
scóráilte,siúráilte
hothair,saothair
luaite,suaite
So,do
lathair,athair
BhÁC,BÁC
deal,dual
léigear,éigean
iontach,mionlach
lag,la
cosantóir,chosantóir
Ciste,gCiste
bhearna,cheana
dteacht,teach
bhotúin,botún
leanann,ceapann
flaithis,fithis
dialann,dhialann
und,end
sealbhú,dealbh
ór,yr
ceannais,teannas
beat,brat
Ya,ha
fhoirfe,fhoinse
Gaelport,Gaelgory
airí,hairí
sia,sna
bhróg,bhrón
Fé,Fr
Out,out
Ban,han
hip,hit
Domhnall,Domhnaill
socraithe,sáraithe
aeir,eir
gcáipéisí,cáipéis
Cofaigh,Chofaigh
suimúil,suimiúla
Co,eo
deireann,deiseanna
leagfar,leagfadh
cuirtear,cuirfear
coinneal,choinneal
Sleacht,beacht
Um,ám
mBunreacht,bunreacht
corn,born
lámh,láimh
mhuineál,muineál
Caillte,Coille
imeartas,mbeartas
find,kind
nGealach,nGlasach
scéilín,scéil
chanadh,chumadh
Bóthair,hathair
mó,mór
Ce,Cc
Bon,Box
chuireadh,chuideodh
seachas,saghas
Grand,grand
Cor,Cur
Tuaithe,Tuatha
Scaoileadh,Scaipeadh
Baill,caill
र,b
co,ch
buí,guí
deir,deire
móran,mórán
chineál,muineál
thuairim,tuairimí
BB,Bí
margadh,magaidh
clúiteach,chúiteamh
My,Ma
ndearnadh,dearadh
reading,meaning
beacht,reacht
miotail,miotais
Bad,bad
bhuachaint,buachtaint
mheán,mheon
Wild,Will
TD,TÁ
ceirnín,coinín
Mhóir,Mhair
Suas,luas
Moderna,Modern
art,part
dhigiteach,digiteach
Spiorad,spioraid
aice,aici
gcumann,gcumas
len,lem
Bígí,bígí
Féar,Fuar
Up,up
sun,run
Arsa,Ara
scéin,scéil
Scots,Scoth
Bionn,Boinn
Feall,geall
má,mó
gás,ghás
miotais,mórtais
bhallaí,bealaí
se,be
scór,scor
Éire,fire
bhóthair,chathair
per,fer
chlann,cheann
di,dí
poill,poll
bhuacach,bacach
ins,its
labhairt,tabhair
aos,os
dhiaidh,ndiaidh
lean,lan
dlúithe,dtithe
dhéanfar,dhéanta
Gabhadh,rachadh
measúnú,mheasúnú
arda,garda
thosaíocht,thacaíocht
bhuille,thuill
Eva,Evan
fir,far
agóid,agóidí
bhféile,féile
pasanna,nósanna
théarma,théama
choinne,sloinne
halainn,tharainn
bhraitheann,chaitheann
Des,des
bit,mit
Fearraigh,earraigh
ga,ya
Cheanada,gCeanada
tic,sic
toirneach,deirneach
led,ed
gcoirnéal,choirnéal
Cadhain,Cathain
aidhmeanna,haidhmeanna
réabhlóid,Éabhlóid
Óga,Óg
fhágáil,fhagháil
tíre,thíre
Fhear,dhear
ar,Ór
Al,ll
dTeach,dreach
Ce,re
cúnamh,cúnaimh
gcraobhacha,chraobhacha
Child,child
atáimid,táimid
Alan,Altan
Clúdach,Clodagh
Um,m
cailligí,cailiní
nGiúdach,Ghiúdach
A,Á
foscadh,lascadh
ollscoile,ollscoil
cúil,iúil
Pan,Éan
thagadh,thagair
ceiste,ciste
Caithfimid,gcaithfimid
Wolf,Wolfe
contae,chontae
óig,tig
fri,fré
Shinsear,Soisear
Náisiúin,seisiúin
thú,th
céimí,céime
hello,hell
thuiscint,míthuiscint
ceathrar,ceathar
ma,na
Fáilte,Féilte
Samhain,cathain
Éisc,éisc
fhómhar,fhómhair
ach,amh
j,k
son,soon
teochta,teachta
fhearadh,dhearadh
Man,éan
seanbhean,seanfhear
g,gd
Iar,tIar
róin,rón
fheachtas,fheabhas
Sinn,sinn
gcraoltóir,craoltóirí
Labhair,habair
cor,cór
cathain,cathair
aige,aice
Réabhlóid,réabhlóide
shona,dhona
B,Bí
díreacha,dreach
faoina,faoin
Christie,Christine
aduaidh,ndiaidh
Teachta,leacht
scríbhneora,scríbhneoirí
But,but
Tabhair,chabhair
háiseanna,chúiseanna
mbionn,mbonn
Rón,fón
Chuidigh,chuidigh
maoiniú,maoin
leagfadh,leagadh
h,ah
Go,yo
éisteacht,éineacht
try,tré
mhadra,mhara
phacáiste,phaiste
sic,sin
damhsóir,damhsóirí
seinnteoir,sheinnteoir
Más,Mas
nGealach,gealach
yo,mo
dó,dí
Oibrithe,airithe
can,cam
Z,í
Coimirce,himirce
thuig,chuig
pian,ian
Town,town
choir,chois
NO,Nó
Scannal,cantal
tor,cor
dheisiú,dheis
dearadh,dealramh
lasadh,lascadh
coillte,scoilte
Johns,John
Achta,achta
Scríbhneoir,Scríbhneoirí
Gaelainn,halainn
churaidh,chogaidh
meaisíní,meaisín
lonrach,íontach
Marta,Marty
ghás,chás
aineolach,aineolas
choladh,chodladh
Ceannaire,ceannairí
Chéid,chéid
cc,co
castáil,eastáit
nGaeilge,Gaeilige
BricBlasta,Bricfeasta
bhfaighinn,bhfaighidh
Frank,Fran
fill,filí
Ni,Nó
gan,fan
de,ne
salainn,hálainn
rún,mún
lon,lot
donais,donas
p,É
láidriú,láidire
Aonghusohe,aonghusoha
bhuacach,bhealach
áirithe,imithe
A,g
inar,inár
héisteoirí,éisteoirí
áthas,háthas
thú,thí
Nós,Nás
chughainn,chugainn
hábhar,ábhar
leanstan,leantar
eu,au
bhagairt,bhfógairt
neamhaí,neamh
air,aip
Zú,dú
luath,fuath
Brandon,Bradán
Ciste,ciste
han,chan
cgl,gl
mata,mana
miotal,mhiotal
Bualadh,ualach
pointí,points
díol,díot
Feis,Fheis
Marcus,Marcas
gComórtas,gcomórtas
bhád,bhás
Goill,Gill
Fhoireann,bheireann
Phríomh,mhaíomh
Seapánaigh,Seapánach
iomaíochta,eolaíochta
Bán,dán
ve,we
eagraíonn,eagraíodh
Chearúil,bharúil
ghás,bhás
neart,near
Rith,cith
suimeanna,scéimeanna
Bille,Bill
bhás,bháis
Ca,Cat
dubhthach,dubhach
beith,beidh
bhréag,bréag
chonradh,thoradh
achomhairc,achomharc
cc,cm
bhfaighfí,bhfaighfeá
rain,raic
gabhail,gabhar
crochadh,cromadh
ly,by
Bun,Ban
Oideachais,Oireachtais
Gall,Gill
nochtar,íochtar
caoi,chaoi
fer,aer
leithid,leithéidí
H,y
mbagairt,tsagairt
cora,caora
Las,Los
chailín,gcailín
polaiteoir,pholaiteoir
bhfórsaí,fhórsaí
pharáid,bhráid
Ath,oth
bhéil,bhail
thosaigh,thoiligh
ceiliúradh,céiliúradh
when,then
Aodán,Aodáin
Hard,Hara
Éilís,Éilis
Gearóid,Ghearóid
Comhairle,chomhairle
AS,Ar
hainnis,bhainis
Cloisfear,cloisfear
gar,mar
Chomhghairdeas,Comhgairdeas
nascadh,foscadh
gcumarsáid,chumarsáid
gcuntar,cuntas
Fein,fein
charranna,carranna
Hata,Haha
ciorraithe,chiorruithe
mian,dian
teachta,reacht
diúltach,dhiúltach
iúil,dúil
Uí,uí
Tapaigh,thapaigh
Ord,ard
thainig,thairg
locht,locha
Gaelainne,Gaolainn
xx,x
léiritheoir,léiritheoirí
re,ye
bhuachaill,buachaillí
fág,fhág
thriall,thrian
re,ae
léireoidh,réiteoidh
luais,gluais
Sath,nath
Bhaoill,choill
Chéide,Chéid
úsáidtí,úsáid
phaiste,baiste
sea,seas
Mi,di
gluais,luais
siamsaíocht,siamsaíochta
chaith,mhaith
JJ,Je
casacht,feasacht
maíonn,mbíonn
prionsa,piosa
inis,cnis
War,sar
phobalbhreith,pobalbhreithe
hÉirinn,hÉireann
gcoiste,coise
scór,scar
few,new
dtitfeadh,dtitfidh
leanfaidh,leanfadh
coirpeach,coileach
Feicfimid,Feicimid
gcuirfinn,chuirfinn
ghaisce,ghaire
costais,custaim
Ch,dh
Tobar,tobar
Chuamar,thugamar
dtugadh,dtugann
íseal,seal
cuirtear,caitear
conspóideacha,chonspóideach
ndícheall,dhícheall
Chaisleán,Chaisleáin
Shéamus,Séamus
dTiobraid,Thiobraid
Teachta,Teach
re,se
Rith,Rath
manaigh,magaidh
Max,Mag
bad,ba
Díreach,aireach
bhuí,bhur
sent,seit
names,name
teas,theas
aoibhneas,aighneas
triomach,trialach
troma,droma
tairgeadh,airgead
poinnte,aoinne
g,gé
sileadh,smideadh
gcuirfí,gcuirfeá
Aistritheoirí,aistritheoirí
Finn,tinn
start,stars
chuas,cluas
mbunscoileanna,bhunscoileanna
Virginia,Virgin
bhearna,bheatha
bhfeachtas,bhfeachtais
chara,charad
shraith,sraithe
práinní,práinn
Farraige,farraigí
Pic,Poc
us,s
Ming,Minh
bím,bhím
scuainí,achainí
cóiméid,nóiméid
liobrálaigh,liobrálach
leanadh,leanaí
cainteoirí,cainteoir
Ciaran,Ciara
Doireann,foireann
gualainn,salainn
háitiúil,cháiliúil
tá,te
Caiseal,gCaiseal
bhannaí,cannaí
Ghaeilg,ghaeilge
scéil,scéal
Fraince,Fraincise
Scamall,scamaill
der,dúr
bheatha,bheaga
caorach,chorrach
Tuaithe,luaidhe
comhrialtais,gcomhrialtas
cloiche,cluiche
hoibrithe,oibrithe
cheantair,cheangail
féilte,failte
hat,halt
mBreatimeacht,Breatimeachta
yr,Úr
GC,C
rís,arís
srianta,cianta
Bl,el
áiteacha,litreacha
nGaelscoil,Ghaelscoil
taighde,faighte
Bríde,Bríd
tho,tha
fholúntais,folúntas
bhlas,bhlais
baol,saol
deifir,dheifir
sásta,shásta
Chomhrá,comhrá
airm,aird
chráite,comhráite
cásanna,pasanna
bhreátha,bhreithe
Grianghraf,griangraf
Shleacht,sheacht
Cleachtadh,cleachtadh
deifir,difir
gCeantar,ceantar
ionradh,borradh
Féar,féar
fhón,fhód
patrúin,cartúin
náisiúnachais,náisiúnachas
teams,terms
Phoist,phoist
tréithe,troithe
Sonas,sonas
eas,was
Lou,Lol
milseán,oileán
Chluichí,chluiche
cíoradh,líonadh
Santaí,Santa
RA,Rí
dhochtúirí,dochtúir
f,u
cúramach,cúramaí
eangach,theangach
la,ga
tiarnaí,tanaí
conn,tonn
cloisim,cloiste
ú,g
iontacha,sonracha
rte,rt
win,wind
tsacair,eascair
crann,gcrann
leasú,leasa
will,wil
not,hot
Maíodh,maíodh
tic,tig
bá,bás
shiúil,shiúl
dhlí,dlí
séanadh,stánadh
príomh,bpríomh
táim,téim
lúibíní,blúiríní
caorach,daoradh
dtabharfaí,dtabharfadh
sláinte,sáite
Rás,Rós
athrá,athrú
Connacht,Conrach
han,than
Toghadh,Toradh
me,ye
Is,ds
Conn,bonn
Eacnamaíochta,eacnamaíochta
Dia,via
Earrach,torrach
srianta,blianta
Seamus,Séamus
taibhsí,taibhse
sáraithe,socraithe
tuismitheoir,dtuismitheoirí
babhta,mbabhta
í,tí
l,y
ceardaí,cearta
shin,shín
gCogadh,cogadh
ghránna,ghrinn
Set,net
teaghlaigh,theaghlaigh
fás,bás
Mara,Marc
chaitear,luaitear
taisí,taise
Cine,mine
cladaigh,clúdaigh
Micheál,Mhicheál
An,Ah
shuimiúil,shainiúil
ok,k
la,lá
haíonna,dhaonna
wrote,write
Breithlá,bhreithlá
Toraigh,Tapaigh
MA,My
IN,ÓN
Wood,good
chuairt,chairr
corrach,lonrach
cnó,cló
deireann,oireann
Jon,mon
eadrainn,iarainn
diamhair,deachair
ghlas,ghlan
Corp,Cor
Lár,Lán
Cúig,cúig
tuaithe,tréithe
GC,G
gcloisfear,cloistear
fhein,dhein
stáir,stáit
BF,Bn
girl,girls
Oifige,hOifige
Beannachtaí,Beannacht
thrioblóid,trioblóidí
mhagadh,magaidh
X,z
Dar,Day
Mairfidh,bainfidh
mhilliún,milliúin
galanta,glúnta
fheisteas,feisteas
fhoréigin,fhoréigean
éigeandáil,Éigeandáil
led,les
shaoirse,tsaoirse
éireoidh,léireoidh
cúl,cúil
S,f
shinsir,phinsin
árachais,rachmais
W,p
Nath,cath
vótóirí,vótóir
Pheig,Pheil
cabhróidh,labhródh
briathar,ruathar
Mallacht,mallacht
dúchas,dúchais
fuascailt,fhuascailt
caitheamh,feitheamh
réabadh,preabadh
Dá,Dr
foghlaim,fhoghlaim
déagóirí,éagóir
leanúnacha,leanúnachas
Baineadh,cáineadh
P,x
to,tor
síochána,suíochán
ársa,áras
know,knows
H,ó
ngach,gach
blag,bhlag
tobann,torann
Casla,Carla
DS,Da
chrainn,iarainn
deachair,deachtóir
bhó,bó
Rodgers,Rovers
cinneadh,chinneadh
Lána,fána
hothair,chathair
La,Lá
fadó,fad
teaghlaigh,teaghlach
means,meas
nu,au
Connell,Conall
MLA,MA
Major,Maor
ghuí,bhuí
thugadar,bhuadar
tusa,fusa
cúlaithe,eolaithe
gcloisfear,chloisfear
Rinne,Éinne
Laoise,haoise
chastar,chasta
Lá,LÁ
meanman,meantán
gléasadh,gnéasach
cúigiú,gcúigiú
bhealach,ngealach
tine,cine
fheisire,fhéilire
Um,em
Sláinte,tSláinte
Leanfar,ceantar
thuigtear,thugtar
ruda,rud
Caith,Chaith
eadrainn,fearainn
gheansaí,geansaí
pinsean,pinsin
a,am
her,er
how,wow
teastais,teannais
roinnte,roinne
ait,ailt
maítear,caitear
mbliana,bhliana
Na,NÍ
charr,charn
cuma,cumas
Ua,ra
Breatnaise,Bhreatnais
Seáin,Seán
Och,Ocht
ndíospóireacht,díospóireachta
ceathrú,athrú
set,seat
ro,rl
ról,ró
siúlóid,siúlóide
ceall,chall
Taoisigh,Thaoisigh
pár,lár
ff,fé
cheol,cheo
coinnle,cinnte
himeachtaí,éifeachtaí
feirmeoirí,feirmeoir
cheannas,cheanna
Ionaid,Ionad
Lost,Los
Meitheal,mheitheal
fanfaidh,fágfaidh
mionn,fionn
bhailte,bhail
Rabhadh,gabhadh
luaidhe,luaigh
chlóiríd,clóirín
himeacht,himeachtaí
ra,rap
coimhlinte,coimhlint
hé,shé
bhfeicim,bhfeirm
gura,guta
mé,bé
ndearcadh,ndearmad
Baiste,baiste
iondúil,lonrúil
Príomhfheidhmeannach,Phríomhfheidhmeannach
glas,gas
foinse,fhoinse
chúis,chois
Games,games
himeacht,éineacht
Am,km
iad,hiad
Chomhaontas,Comhaontas
Pictiúir,pictiúir
Aontroim,Aontroma
géara,géar
cúirteanna,cúiseanna
Cailín,Cailíní
Matt,Mart
mhaíomh,mhaíonn
Bn,Bán
seo,reo
Bhuiséad,bhuiséad
Déanfar,Déantar
os,on
Ros,Rís
us,bus
Coladh,coladh
Banc,Ban
PS,Pa
Aontaithe,sonraithe
bhfógraí,bhfógra
sáite,ráite
dteacht,neacht
cur,gcur
póirseáil,máirseáil
Staid,Stair
Leabhra,Leabhair
and,und
malaí,málaí
nuachta,luachra
hAstráile,Astráil
dear,year
Martina,Marine
mheitheal,mhaitheas
sad,stad
éin,féin
staonadh,séanadh
mBealach,Bhealach
Seoladh,boladh
chugainn,cumainn
suite,suime
leis,leic
Final,Finals
uaim,uair
tarlaithe,staraithe
Bua,Bun
Maigh,haigh
thí,thú
dea,der
tsacair,sacar
Síleann,leann
Lus,Luí
h,d
Fanacht,casacht
dea,deal
coinneal,coinneáil
et,ex
os,dos
tharraing,tharainn
chraolta,ghaolta
dá,de
iarthar,iarthair
Ford,Fort
Nach,cach
chaid,chéid
chúrsaí,cursaí
Máthair,othair
Mary,Marx
sex,set
shealbhú,shearbh
amhráin,hamhráin
Carthy,Carty
Leitrim,Leitir
Gaelige,Gaeilg
luaithe,laethe
